Campus,StudyField,Branch,Role,EduLevel,ProgLang,Databases,Platform,WebFramework,Industry,AISearch,AITool,Employment
Pretoria Campus,IT,I am a developer by profession,Data scientist or machine learning specialist,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C#;Python;SQL,Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS),ASP.NET;ASP.NET CORE;Flask,Wholesale,ChatGPT,Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine,"Employed, full-time"
Umhlanga Campus,Data Science,I am a developer by profession,Cloud infrastructure engineer,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Go;Groovy;Java;JavaScript;Python;Scala;SQL,Elasticsearch;MySQL;Neo4J;PostgreSQL;Redis,Amazon Web Services (AWS),Django;Spring Boot,"Manufacturing, Transportation, or Supply Chain",ChatGPT,Codeium;GitHub Copilot;Synk Code,"Employed, full-time;Independent contractor, freelancer, or self-employed"
Midrand Campus,IT,I am a developer by profession,"Developer, full-stack",Some college/university study without earning a degree,Ruby,MySQL,Amazon Web Services (AWS),jQuery;Ruby on Rails,"Information Services, IT, Software Development, or other Technology",ChatGPT,Codeium;Synk Code;Whispr AI,"Employed, full-time"
Midrand Campus,IT,I am a developer by profession,"Developer, full-stack",Primary/elementary school,HTML/CSS;JavaScript;PHP;Python;TypeScript,MariaDB;MongoDB;MySQL,Digital Ocean;Heroku;Managed Hosting;Netlify;Vercel,Django;Express;Flask;Next.js;Node.js;React;WordPress,Advertising Services,Bing AI;ChatGPT,Codeium;Synk Code;Whispr AI,"Employed, full-time"
Nelson Mandela Bay Campus,IT,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Assembly;C;C++;Java;VBA,Oracle;Redis,Amazon Web Services (AWS);Digital Ocean;Google Cloud;Heroku,Angular;Django;FastAPI;Flask;Node.js;React;Vue.js,Financial Services,Unknown,GitHub Copilot;Synk Code,"Independent contractor, freelancer, or self-employed"
Tyger Valley Campus,Computer Science,I am a developer by profession,"Developer, desktop or enterprise applications","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Assembly;Bash/Shell (all shells);C++;Java;JavaScript;Perl;SQL,Oracle;PostgreSQL,Amazon Web Services (AWS);OpenStack,React;Spring Boot,Healthcare,Unknown,AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Tabnine,"Employed, full-time"
Midrand Campus,IT,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,MariaDB;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);OVH,jQuery;Laravel,"Information Services, IT, Software Development, or other Technology",Unknown,GitHub Copilot;Rubber Duck.AI;Tabnine,"Employed, full-time"
Umhlanga Campus,Computer Science,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C;C++;Python,PostgreSQL,Amazon Web Services (AWS);Digital Ocean,Unknown,Other,ChatGPT,GitHub Copilot;Rubber Duck.AI,"Employed, full-time"
Midrand Campus,IT,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Cloud infrastructure engineer,Some college/university study without earning a degree,Bash/Shell (all shells);C;C++;HTML/CSS;Java;PHP;SQL;Visual Basic (.Net),IBM DB2;MariaDB,Cloudflare;Digital Ocean;Google Cloud;Managed Hosting;Microsoft Azure;OVH;Vultr,Drupal;Laravel;WordPress,Wholesale,ChatGPT,Tabnine;Whispr AI,"Employed, full-time"
Tyger Valley Campus,Data Science,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Scientist,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);MATLAB;Python;R;SQL,MariaDB;Microsoft Access,Unknown,Unknown,Retail and Consumer Services,Unknown,Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Whispr AI,"Employed, part-time"
Pretoria Campus,IT,I am a developer by profession,"Developer, full-stack",Some college/university study without earning a degree,C#;HTML/CSS;SQL;TypeScript,Cosmos DB;H2;IBM DB2;Microsoft SQL Server;Oracle,Digital Ocean;Microsoft Azure,Angular,Insurance,ChatGPT,GitHub Copilot,"Employed, full-time"
Tyger Valley Campus,Computer Science,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;JavaScript,Couchbase;Microsoft SQL Server;MongoDB;PostgreSQL,Microsoft Azure,ASP.NET CORE;Express;Lit;Node.js;React,Legal Services,Unknown,AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter,"Employed, full-time"
Pretoria Campus,IT,I am a developer by profession,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Java;Kotlin;Scala,Elasticsearch;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Hetzner,Play Framework,Wholesale,ChatGPT,Codeium;GitHub Copilot;Synk Code,"Employed, full-time;Independent contractor, freelancer, or self-employed"
Tyger Valley Campus,Data Science,I am a developer by profession,Unknown,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Java;PHP;Python;R;SQL,Unknown,Firebase,Unknown,"Information Services, IT, Software Development, or other Technology",Unknown,Adrenaline;GitHub Copilot;Rubber Duck.AI;Tabnine,"Student, full-time"
Pretoria Campus,IT,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;HTML/CSS;JavaScript,Microsoft SQL Server;SQLite,Amazon Web Services (AWS);Microsoft Azure,ASP.NET;ASP.NET CORE,Legal Services,ChatGPT,AWS CodeWhisperer;Mintlify,"Employed, full-time"
Umhlanga Campus,IT,I am a developer by profession,"Senior Executive (C-Suite, VP, etc.)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;Go;HTML/CSS;Java;JavaScript;Julia;Python;Rust;SQL;TypeScript,Dynamodb;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS),ASP.NET CORE;Express;Flask;Next.js;Node.js;React;Spring Boot;Vue.js,Legal Services,ChatGPT,AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify,"Employed, full-time"
Umhlanga Campus,IT,I am a developer by profession,Other (please specify):,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C++;Groovy;HTML/CSS;JavaScript;PowerShell;Python;Rust,PostgreSQL,Amazon Web Services (AWS);Microsoft Azure;VMware,Django,Retail and Consumer Services,Unknown,Mintlify;Tabnine,"Employed, full-time"
Tyger Valley Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;F#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server;Neo4J;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Cloudflare;Colocation;Fly.io;Hetzner;Microsoft Azure,ASP.NET CORE;Blazor;jQuery,Oil & Gas,Bing AI;ChatGPT,AWS CodeWhisperer;GitHub Copilot;Synk Code;Tabnine;Whispr AI,"Employed, full-time"
Midrand Campus,IT,I am a developer by profession,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Java;Kotlin,MongoDB,Amazon Web Services (AWS),Spring Boot,Other,Unknown,Codeium,"Employed, full-time"
Midrand Campus,Computer Science,I am a developer by profession,"Developer, QA or test","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;Java;JavaScript;PowerShell;Python;TypeScript,Dynamodb;Elasticsearch;InfluxDB,Amazon Web Services (AWS);Firebase,Flask;Node.js,Higher Education,Bing AI;ChatGPT,AWS CodeWhisperer;GitHub Copilot;Whispr AI,"Employed, full-time"
Midrand Campus,IT,I am a developer by profession,Engineering manager,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;JavaScript;Kotlin;TypeScript,Cassandra;Dynamodb,Amazon Web Services (AWS),jQuery;React;Spring Boot,"Manufacturing, Transportation, or Supply Chain",ChatGPT,AWS CodeWhisperer;Replit Ghostwriter;Rubber Duck.AI;Tabnine,"Employed, full-time"
Tyger Valley Campus,Computer Science,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;JavaScript;SQL;TypeScript,MariaDB;MySQL;Neo4J,Unknown,Express;Node.js;React,Higher Education,Unknown,GitHub Copilot;Synk Code;Whispr AI,"Employed, full-time"
Umhlanga Campus,Data Science,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;HTML/CSS;JavaScript,Cloud Firestore;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,Cloudflare;Firebase;Google Cloud;Heroku;Microsoft Azure;Netlify;Vercel,ASP.NET;ASP.NET CORE;Blazor;jQuery;Next.js;React;WordPress,"Manufacturing, Transportation, or Supply Chain",Bing AI;ChatGPT;Google Bard AI,AWS CodeWhisperer;Codeium;GitHub Copilot,"Employed, full-time"
Midrand Campus,Data Science,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;SQL;TypeScript,Microsoft SQL Server;MongoDB,Unknown,NestJS;Next.js;React,Oil & Gas,Unknown,AWS CodeWhisperer;GitHub Copilot;Tabnine;Whispr AI,"Independent contractor, freelancer, or self-employed"
Pretoria Campus,Computer Science,I am a developer by profession,"Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Kotlin;Swift,Unknown,Unknown,Unknown,"Manufacturing, Transportation, or Supply Chain",ChatGPT,Rubber Duck.AI;Synk Code,"Employed, full-time;Independent contractor, freelancer, or self-employed"
Pretoria Campus,IT,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,Firebase Realtime Database;PostgreSQL,Firebase;Google Cloud,Node.js;React,Legal Services,ChatGPT,Codeium;Replit Ghostwriter,"Not employed, but looking for work"
Tyger Valley Campus,Computer Science,"I used to be a developer by profession, but no longer am","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Go;Java;SQL,BigQuery;Cassandra;Clickhouse;MariaDB;MySQL;PostgreSQL;Redis,"Amazon Web Services (AWS);Digital Ocean;Google Cloud;Linode, now Akamai;Microsoft Azure",Spring Boot,"Information Services, IT, Software Development, or other Technology",Bing AI;ChatGPT;Google Bard AI,GitHub Copilot;Synk Code;Tabnine,"Employed, full-time"
Nelson Mandela Bay Campus,IT,I am a developer by profession,Blockchain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Rust,Unknown,Google Cloud,Unknown,"Information Services, IT, Software Development, or other Technology",ChatGPT,GitHub Copilot;Whispr AI,"Employed, full-time"
Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,"Developer, desktop or enterprise applications","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",C#;HTML/CSS;SQL;VBA,Cosmos DB;Microsoft Access;Microsoft SQL Server,Microsoft Azure,ASP.NET;ASP.NET CORE;Blazor,Insurance,Unknown,Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter,"Employed, full-time"
Umhlanga Campus,IT,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript;SQL;TypeScript,MySQL;Redis,Amazon Web Services (AWS);Cloudflare,Express;Next.js;Node.js;React,Other,ChatGPT,GitHub Copilot;Mintlify,"Employed, full-time"
Umhlanga Campus,Data Science,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Groovy;HTML/CSS;Java;JavaScript;TypeScript,MongoDB;MySQL,Fly.io;Heroku,Next.js;Node.js;Spring Boot,"Manufacturing, Transportation, or Supply Chain",Unknown,Adrenaline;GitHub Copilot;Rubber Duck.AI;Tabnine,"Employed, full-time"
Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,"Developer, back-end",Some college/university study without earning a degree,HTML/CSS;Java;Kotlin;Python,MariaDB;MongoDB;MySQL;Oracle,Amazon Web Services (AWS);Google Cloud,Unknown,Wholesale,ChatGPT,GitHub Copilot;Replit Ghostwriter;Rubber Duck.AI;Tabnine,"Employed, part-time"
Pretoria Campus,IT,I am a developer by profession,"Developer, desktop or enterprise applications","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Go;HTML/CSS;Nim;Python;Rust,SQLite,Unknown,Elm,Financial Services,Unknown,AWS CodeWhisperer;Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine,"Independent contractor, freelancer, or self-employed"
Pretoria Campus,Data Science,I am a developer by profession,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C++;MATLAB;Python;SQL,MariaDB;Snowflake,Amazon Web Services (AWS),Unknown,Insurance,Unknown,AWS CodeWhisperer;Codeium;GitHub Copilot;Tabnine;Whispr AI,"Employed, full-time"
Midrand Campus,Computer Science,I am a developer by profession,"Developer, front-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;HTML/CSS;TypeScript,Microsoft SQL Server,Microsoft Azure,ASP.NET;ASP.NET CORE;React,"Manufacturing, Transportation, or Supply Chain",ChatGPT,Codeium;GitHub Copilot;Synk Code,"Employed, full-time"
Pretoria Campus,Data Science,"I used to be a developer by profession, but no longer am",Project manager,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Assembly;C;C#;C++;F#;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL,SQLite,Unknown,ASP.NET,Financial Services,Bing AI;ChatGPT;WolframAlpha,Adrenaline;Mintlify,"Employed, full-time"
Tyger Valley Campus,Computer Science,I am a developer by profession,"Developer, mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;Delphi;MATLAB;Python;SQL,Microsoft SQL Server;MySQL;PostgreSQL,Amazon Web Services (AWS);Microsoft Azure;Oracle Cloud Infrastructure (OCI),Unknown,"Manufacturing, Transportation, or Supply Chain",Unknown,AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Tabnine,"Independent contractor, freelancer, or self-employed"
Pretoria Campus,Data Science,I am a developer by profession,"Developer, front-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;JavaScript;TypeScript,Microsoft SQL Server;MongoDB,Amazon Web Services (AWS);Firebase;Heroku,Express;Node.js;React,Retail and Consumer Services,ChatGPT,Codeium;Synk Code;Whispr AI,"Employed, full-time"
Nelson Mandela Bay Campus,Data Science,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;JavaScript;PHP;TypeScript,MariaDB;MySQL;PostgreSQL,Unknown,jQuery;Laravel;Svelte;Vue.js,Retail and Consumer Services,Unknown,Rubber Duck.AI;Tabnine,"Employed, full-time"
Umhlanga Campus,Computer Science,I am a developer by profession,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C;C#;C++;Java;JavaScript;Kotlin,Unknown,Unknown,Unknown,Healthcare,ChatGPT,AWS CodeWhisperer;Codeium;Tabnine;Whispr AI,"Employed, full-time"
Tyger Valley Campus,Data Science,"I am not primarily a developer, but I write code sometimes as part of my work/studies",DevOps specialist,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells),MongoDB,Amazon Web Services (AWS),Unknown,Higher Education,ChatGPT,Adrenaline;AWS CodeWhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine;Whispr AI,"Employed, full-time"
Nelson Mandela Bay Campus,IT,"I used to be a developer by profession, but no longer am",Designer,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;JavaScript;TypeScript,PostgreSQL,Hetzner,Django;React,"Manufacturing, Transportation, or Supply Chain",ChatGPT,Replit Ghostwriter;Tabnine,"Employed, full-time"
Tyger Valley Campus,IT,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Apex;Bash/Shell (all shells);C#;Java,MariaDB;MySQL;PostgreSQL,Unknown,Spring Boot,Other,ChatGPT,Mintlify,"Employed, full-time"
Umhlanga Campus,IT,I am a developer by profession,"Developer, back-end",Some college/university study without earning a degree,C#;Dart;Rust;SQL,Cassandra;Elasticsearch;MariaDB;MongoDB;PostgreSQL;Redis;SQLite,Firebase;Microsoft Azure,ASP.NET CORE;Blazor,Insurance,ChatGPT,GitHub Copilot;Replit Ghostwriter;Tabnine,"Employed, full-time"
Pretoria Campus,Computer Science,I am a developer by profession,"Developer, embedded applications or devices","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C;C++;Python,Unknown,Unknown,Unknown,Wholesale,Unknown,Adrenaline;GitHub Copilot;Synk Code,"Independent contractor, freelancer, or self-employed;Employed, part-time"
Midrand Campus,Computer Science,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Swift,Firebase Realtime Database,Google Cloud,AngularJS,Legal Services,ChatGPT;Google Bard AI,Adrenaline;Codeium;GitHub Copilot,"Employed, full-time"
Nelson Mandela Bay Campus,IT,I am a developer by profession,DevOps specialist,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C;C#;C++,Unknown,Unknown,Unknown,Insurance,Bing AI;ChatGPT,Synk Code;Tabnine;Whispr AI,"Employed, full-time"
Pretoria Campus,IT,I am a developer by profession,"Developer, front-end",Something else,Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,Unknown,Unknown,Node.js,"Information Services, IT, Software Development, or other Technology",Unknown,Codeium;Tabnine,"Employed, full-time"
Nelson Mandela Bay Campus,IT,I am a developer by profession,"Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Bash/Shell (all shells);C;C#;C++;GDScript;HTML/CSS;Java;JavaScript;Lua;PHP;Python;Ruby;SQL;TypeScript,MySQL;Oracle,Unknown,Unknown,Other,Unknown,Codeium;GitHub Copilot,"Employed, full-time;Student, full-time"
Umhlanga Campus,Computer Science,I am a developer by profession,"Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Delphi;HTML/CSS;Java;JavaScript;SQL,Firebase Realtime Database;Oracle,Unknown,Angular;AngularJS;Node.js,Retail and Consumer Services,Unknown,Adrenaline;GitHub Copilot;Rubber Duck.AI,"Employed, full-time"
Pretoria Campus,Computer Science,I am a developer by profession,Other (please specify):,Some college/university study without earning a degree,C++;JavaScript,Unknown,Google Cloud,Unknown,Higher Education,ChatGPT,Rubber Duck.AI;Synk Code,"Employed, full-time;Student, full-time"
Pretoria Campus,Data Science,I am learning to code,Unknown,Primary/elementary school,C++;HTML/CSS;Python,MySQL;PostgreSQL,Render,Django;Flask,Oil & Gas,Unknown,AWS CodeWhisperer;GitHub Copilot;Synk Code;Tabnine;Whispr AI,I prefer not to say
Midrand Campus,Data Science,I am a developer by profession,"Developer, full-stack",Some college/university study without earning a degree,Java;JavaScript;Python;SQL,Cloud Firestore;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud,Angular;AngularJS;Django;Vue.js,Retail and Consumer Services,Bing AI;ChatGPT;You.com,Codeium;Tabnine,"Independent contractor, freelancer, or self-employed"
Pretoria Campus,IT,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;HTML/CSS;JavaScript,Cosmos DB;Elasticsearch;MySQL,Amazon Web Services (AWS);Microsoft Azure,ASP.NET CORE;Next.js;React,Financial Services,ChatGPT,AWS CodeWhisperer;GitHub Copilot;Synk Code,"Employed, full-time"
Umhlanga Campus,IT,"I am not primarily a developer, but I write code sometimes as part of my work/studies",DevOps specialist,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript;Python;SQL,Elasticsearch;MongoDB;MySQL;PostgreSQL,Unknown,Unknown,Advertising Services,ChatGPT,AWS CodeWhisperer;GitHub Copilot;Tabnine,"Employed, full-time"
Pretoria Campus,Data Science,I am a developer by profession,"Engineer, site reliability","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Go;Python,Dynamodb;Elasticsearch;PostgreSQL;Redis,Amazon Web Services (AWS);Microsoft Azure,Unknown,Legal Services,ChatGPT,AWS CodeWhisperer;Replit Ghostwriter;Rubber Duck.AI;Tabnine,"Employed, full-time"
Umhlanga Campus,IT,I am a developer by profession,"Developer, back-end",Some college/university study without earning a degree,C#;HTML/CSS;Python;SQL,MySQL,Unknown,Flask;WordPress,Insurance,ChatGPT,AWS CodeWhisperer;GitHub Copilot,"Independent contractor, freelancer, or self-employed"
Midrand Campus,IT,I am a developer by profession,"Senior Executive (C-Suite, VP, etc.)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Ruby;SQL,MySQL;PostgreSQL;Redis,Cloudflare;Digital Ocean;Heroku,Ruby on Rails,Higher Education,ChatGPT,Codeium;GitHub Copilot,"Employed, full-time"
Nelson Mandela Bay Campus,Data Science,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C#;JavaScript;PHP;PowerShell,MariaDB;MySQL;SQLite,Microsoft Azure,ASP.NET CORE;CodeIgniter;jQuery,Retail and Consumer Services,Bing AI;ChatGPT,Synk Code;Tabnine,"Employed, full-time;Independent contractor, freelancer, or self-employed"
Umhlanga Campus,Data Science,I am a developer by profession,"Senior Executive (C-Suite, VP, etc.)",Some college/university study without earning a degree,JavaScript;PHP;SQL;TypeScript,Dynamodb;Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Cloudflare;Digital Ocean;OVH,Express;Laravel;Next.js;Node.js;React;Symfony,Healthcare,ChatGPT,AWS CodeWhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine,"Employed, full-time"
Pretoria Campus,IT,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Senior Executive (C-Suite, VP, etc.)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;SQL,Microsoft SQL Server,Unknown,ASP.NET CORE,Advertising Services,Unknown,Adrenaline;AWS CodeWhisperer;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI,"Employed, full-time"
Pretoria Campus,IT,I am a developer by profession,"Developer, game or graphics","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);HTML/CSS;Java;Perl;Python,Unknown,Google Cloud,Laravel,Financial Services,ChatGPT,AWS CodeWhisperer;GitHub Copilot;Mintlify;Tabnine,"Employed, full-time"
Nelson Mandela Bay Campus,IT,I code primarily as a hobby,Unknown,Something else,Bash/Shell (all shells);C#;Go;Java;JavaScript;Kotlin;Python,Unknown,Cloudflare;Heroku,FastAPI,Wholesale,ChatGPT,Whispr AI,"Student, full-time"
Pretoria Campus,Data Science,I am a developer by profession,DevOps specialist,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",APL;Assembly;Bash/Shell (all shells);C;HTML/CSS;JavaScript;Perl;SQL;VBA,Microsoft SQL Server;MySQL;SQLite,Unknown,Unknown,Oil & Gas,ChatGPT,AWS CodeWhisperer;Synk Code,"Not employed, but looking for work"
Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,"Developer, front-end",Some college/university study without earning a degree,Dart;HTML/CSS;JavaScript;Python;VBA,Unknown,Microsoft Azure,React,"Information Services, IT, Software Development, or other Technology",Unknown,Codeium;Tabnine,"Employed, full-time"
Nelson Mandela Bay Campus,IT,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Security professional,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Assembly;Bash/Shell (all shells);C;C#;C++;Go;Java;JavaScript;PHP;PowerShell;Python;Rust;VBA;Visual Basic (.Net),Redis;SQLite,Fly.io;Heroku,Unknown,Insurance,WolframAlpha,AWS CodeWhisperer;GitHub Copilot;Mintlify,"Employed, full-time"
Nelson Mandela Bay Campus,Data Science,I am a developer by profession,"Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,Unknown,Amazon Web Services (AWS),Angular;NestJS;Node.js,Retail and Consumer Services,Unknown,AWS CodeWhisperer;GitHub Copilot;Synk Code;Tabnine;Whispr AI,"Employed, full-time"
Midrand Campus,Computer Science,I am a developer by profession,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;PowerShell;Python,Unknown,Unknown,ASP.NET;ASP.NET CORE,Advertising Services,Unknown,Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Whispr AI,"Employed, full-time"
Tyger Valley Campus,IT,I am a developer by profession,DevOps specialist,Some college/university study without earning a degree,Bash/Shell (all shells);HTML/CSS;Python;Ruby;SQL,Cockroachdb;Elasticsearch;InfluxDB;MariaDB;MySQL;PostgreSQL;Redis;Solr;SQLite,"Amazon Web Services (AWS);Cloudflare;Google Cloud;Hetzner;Linode, now Akamai;Scaleway;Vultr",Nuxt.js;Ruby on Rails;WordPress,Wholesale,ChatGPT,Codeium;Replit Ghostwriter,"Independent contractor, freelancer, or self-employed"
Umhlanga Campus,Computer Science,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Research & Development role,Some college/university study without earning a degree,APL;C;C#;C++;HTML/CSS;Java;JavaScript;PowerShell;Python;R,Firebase Realtime Database;MySQL;Oracle,Digital Ocean;Google Cloud,Unknown,"Information Services, IT, Software Development, or other Technology",Unknown,Adrenaline,"Employed, part-time;Student, part-time"
Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,"Developer, back-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Bash/Shell (all shells);C#;Dart;GDScript;Go;HTML/CSS;Java;JavaScript;Lua;PHP;Rust;SQL;TypeScript,Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis;Solr;SQLite,Digital Ocean;Google Cloud;Hetzner,jQuery;Laravel;Node.js;Symfony;Vue.js,Higher Education,Bing AI;ChatGPT;WolframAlpha,GitHub Copilot;Synk Code,"Employed, full-time"
Nelson Mandela Bay Campus,IT,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Other (please specify):,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Groovy;Perl;Python,Unknown,Unknown,Unknown,Oil & Gas,ChatGPT,AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Tabnine;Whispr AI,"Employed, full-time"
Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Go,Dynamodb,Amazon Web Services (AWS),Unknown,Retail and Consumer Services,Unknown,GitHub Copilot;Replit Ghostwriter,"Employed, full-time"
Midrand Campus,IT,I am a developer by profession,Unknown,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;MATLAB;PHP;Python;SQL,Couch DB;SQLite,Unknown,FastAPI;Flask;WordPress,"Manufacturing, Transportation, or Supply Chain",Bing AI;ChatGPT,GitHub Copilot;Replit Ghostwriter;Rubber Duck.AI;Tabnine,"Student, full-time"
